iter	Passed	Remaining
0	57	57369
1	57	28913
2	58	19411
3	58	14650
4	59	11793
5	59	9874
6	59	8498
7	60	7465
8	60	6663
9	60	6033
10	61	5518
11	61	5076
12	62	4707
13	62	4387
14	62	4111
15	62	3873
16	63	3662
17	63	3479
18	64	3308
19	64	3158
20	64	3021
21	65	2896
22	65	2785
23	65	2682
24	66	2590
25	66	2504
26	67	2421
27	67	2343
28	67	2271
29	68	2202
30	68	2138
31	68	2083
32	69	2027
33	69	1977
34	69	1928
35	70	1882
36	70	1838
37	70	1797
38	71	1760
39	71	1725
40	72	1688
41	72	1653
42	72	1621
43	73	1591
44	73	1565
45	74	1538
46	74	1515
47	75	1489
48	75	1464
49	75	1439
50	76	1414
51	76	1391
52	76	1370
53	77	1349
54	77	1328
55	77	1309
56	78	1292
57	78	1274
58	78	1257
59	79	1240
60	79	1224
61	79	1209
62	80	1193
63	80	1178
64	80	1164
65	81	1148
66	81	1133
67	81	1120
68	82	1107
69	82	1094
70	82	1081
71	83	1069
72	83	1058
73	83	1047
74	84	1036
75	84	1027
76	84	1018
77	85	1008
78	85	999
79	86	989
80	86	979
81	86	970
82	86	960
83	87	952
84	87	944
85	88	937
86	88	928
87	88	920
88	89	912
89	89	904
90	89	895
91	90	888
92	90	882
93	90	876
94	91	870
95	91	864
96	92	857
97	92	850
98	92	845
99	93	839
100	93	834
101	94	828
102	94	821
103	94	814
104	94	809
105	95	803
106	95	796
107	95	790
108	96	784
109	96	779
110	96	774
111	97	769
112	97	764
113	97	759
114	98	754
115	98	749
116	98	744
117	98	739
118	99	734
119	99	730
120	99	726
121	100	721
122	100	716
123	100	711
124	101	707
125	101	704
126	101	699
127	102	696
128	102	692
129	102	688
130	103	684
131	103	681
132	103	677
133	104	672
134	104	668
135	104	664
136	104	661
137	105	657
138	105	654
139	105	650
140	106	647
141	106	642
142	106	639
143	107	637
144	107	634
145	108	631
146	108	629
147	108	626
148	109	623
149	109	619
150	109	616
151	109	613
152	110	610
153	110	607
154	110	604
155	111	601
156	111	598
157	112	597
158	112	594
159	112	592
160	113	589
161	113	586
162	113	583
163	113	580
164	114	577
165	114	575
166	114	573
167	115	570
168	115	568
169	116	566
170	116	564
171	116	562
172	117	559
173	117	557
174	117	556
175	118	554
176	118	551
177	119	549
178	119	547
179	119	545
180	120	543
181	120	540
182	120	538
183	120	536
184	121	534
185	121	532
186	122	530
187	122	528
188	122	526
189	122	523
190	123	521
191	123	519
192	124	520
193	124	519
194	125	517
195	125	515
196	126	514
197	126	512
198	127	511
199	127	509
200	127	508
201	128	506
202	128	504
203	128	502
204	129	501
205	129	499
206	130	498
207	130	495
208	130	493
209	130	492
210	131	491
211	131	489
212	132	488
213	132	486
214	132	484
215	133	482
216	133	481
217	133	480
218	134	478
219	134	476
220	134	475
221	135	473
222	135	471
223	135	470
224	136	469
225	136	467
226	136	466
227	137	464
228	137	463
229	138	462
230	138	461
231	138	460
232	139	458
233	139	457
234	140	456
235	140	454
236	140	453
237	141	452
238	141	450
239	142	449
240	142	448
241	142	447
242	143	446
243	143	444
244	143	443
245	144	441
246	144	440
247	144	439
248	145	437
249	145	436
250	145	435
251	146	434
252	146	432
253	146	431
254	147	430
255	147	429
256	147	427
257	148	426
258	148	425
259	148	423
260	149	422
261	149	421
262	149	419
263	150	418
264	150	417
265	150	416
266	151	415
267	151	414
268	152	413
269	152	412
270	152	410
271	152	409
272	153	408
273	153	407
274	154	406
275	154	405
276	154	403
277	155	402
278	155	401
279	155	400
280	156	399
281	156	398
282	156	397
283	157	395
284	157	394
285	157	393
286	157	392
287	158	391
288	158	390
289	159	389
290	159	388
291	159	387
292	160	386
293	160	385
294	160	384
295	161	383
296	161	382
297	161	381
298	162	380
299	162	379
300	162	378
301	163	377
302	163	376
303	164	375
304	164	374
305	164	373
306	165	372
307	165	371
308	165	370
309	166	369
310	166	369
311	166	368
312	167	367
313	167	366
314	168	365
315	168	364
316	168	363
317	169	362
318	169	361
319	169	360
320	170	360
321	170	359
322	170	358
323	171	357
324	171	356
325	171	355
326	172	354
327	172	353
328	172	352
329	173	351
330	173	350
331	173	349
332	174	348
333	174	348
334	175	347
335	175	346
336	175	345
337	176	344
338	176	344
339	177	344
340	178	344
341	178	343
342	178	342
343	178	341
344	179	340
345	179	339
346	179	338
347	180	337
348	180	336
349	180	335
350	181	334
351	181	334
352	181	333
353	182	332
354	182	331
355	182	330
356	183	330
357	183	329
358	183	328
359	184	327
360	184	326
361	184	325
362	185	325
363	185	324
364	185	323
365	186	322
366	187	322
367	187	322
368	188	321
369	188	320
370	188	319
371	189	319
372	189	318
373	189	317
374	189	316
375	190	315
376	190	315
377	191	314
378	191	313
379	191	313
380	192	312
381	192	311
382	192	310
383	193	310
384	193	309
385	193	308
386	194	307
387	194	306
388	194	306
389	195	305
390	195	304
391	195	303
392	196	303
393	196	302
394	196	301
395	197	300
396	197	299
397	197	299
398	198	298
399	198	297
400	198	296
401	199	296
402	199	295
403	199	294
404	200	293
405	200	293
406	200	292
407	201	291
408	201	291
409	201	290
410	202	289
411	202	289
412	202	288
413	203	287
414	203	286
415	203	286
416	204	285
417	204	284
418	204	283
419	205	283
420	205	282
421	205	281
422	205	280
423	206	280
424	206	279
425	207	279
426	207	278
427	208	277
428	208	277
429	208	276
430	209	275
431	209	275
432	209	274
433	210	273
434	210	273
435	210	272
436	210	271
437	211	271
438	211	270
439	211	269
440	212	269
441	212	268
442	212	267
443	213	267
444	213	266
445	214	265
446	214	265
447	214	264
448	215	263
449	215	263
450	215	262
451	216	261
452	216	261
453	216	260
454	217	260
455	217	259
456	217	258
457	218	258
458	218	257
459	218	256
460	219	256
461	219	255
462	219	254
463	220	254
464	220	253
465	220	252
466	221	252
467	221	251
468	221	250
469	221	250
470	222	249
471	222	248
472	222	248
473	223	247
474	223	247
475	224	246
476	224	245
477	224	245
478	225	244
479	225	244
480	226	244
481	227	244
482	228	244
483	228	243
484	229	243
485	231	244
486	232	244
487	233	244
488	234	244
489	234	244
490	235	244
491	236	243
492	236	243
493	238	243
494	238	243
495	239	242
496	239	242
497	239	241
498	240	241
499	240	240
500	240	239
501	241	239
502	241	238
503	241	238
504	242	237
505	242	236
506	242	236
507	243	235
508	244	235
509	244	234
510	244	234
511	245	233
512	245	233
513	246	232
514	246	231
515	246	231
516	246	230
517	247	230
518	247	229
519	247	228
520	248	228
521	248	227
522	248	227
523	249	226
524	249	225
525	249	225
526	250	224
527	250	223
528	250	223
529	251	222
530	251	222
531	251	221
532	252	220
533	252	220
534	252	219
535	253	219
536	253	218
537	253	217
538	254	217
539	254	216
540	254	216
541	255	215
542	255	214
543	255	214
544	255	213
545	256	213
546	256	212
547	256	211
548	257	211
549	257	210
550	257	209
551	257	209
552	258	208
553	258	208
554	258	207
555	259	206
556	259	206
557	259	205
558	260	205
559	260	204
560	260	204
561	260	203
562	261	202
563	261	202
564	261	201
565	262	201
566	262	200
567	262	199
568	263	199
569	263	198
570	263	198
571	264	197
572	264	196
573	264	196
574	264	195
575	265	195
576	265	194
577	265	194
578	266	193
579	266	193
580	266	192
581	267	191
582	267	191
583	267	190
584	268	190
585	268	189
586	268	189
587	268	188
588	269	187
589	269	187
590	270	186
591	270	186
592	270	185
593	270	185
594	271	184
595	271	184
596	271	183
597	272	182
598	272	182
599	272	181
600	273	181
601	273	180
602	273	180
603	273	179
604	274	179
605	274	178
606	274	177
607	275	177
608	275	176
609	275	176
610	276	175
611	276	175
612	276	174
613	277	174
614	277	173
615	277	173
616	277	172
617	278	172
618	278	171
619	278	170
620	279	170
621	279	169
622	279	169
623	279	168
624	280	168
625	280	167
626	280	167
627	281	166
628	281	166
629	281	165
630	282	164
631	282	164
632	282	163
633	283	163
634	283	162
635	283	162
636	283	161
637	284	161
638	284	160
639	284	160
640	285	159
641	285	159
642	285	158
643	286	158
644	286	157
645	286	157
646	286	156
647	287	156
648	287	155
649	287	155
650	288	154
651	288	153
652	288	153
653	289	152
654	289	152
655	289	151
656	289	151
657	290	150
658	290	150
659	290	149
660	291	149
661	291	148
662	291	148
663	291	147
664	292	147
665	292	146
666	292	146
667	293	145
668	293	145
669	293	144
670	293	144
671	294	143
672	294	143
673	294	142
674	295	142
675	295	141
676	295	141
677	296	140
678	296	140
679	296	139
680	296	139
681	297	138
682	297	138
683	297	137
684	298	137
685	298	136
686	298	136
687	299	135
688	299	135
689	299	134
690	300	134
691	300	133
692	300	133
693	300	132
694	301	132
695	301	131
696	301	131
697	302	130
698	302	130
699	302	129
700	303	129
701	303	128
702	303	128
703	304	127
704	304	127
705	304	126
706	304	126
707	305	125
708	305	125
709	305	124
710	306	124
711	306	123
712	306	123
713	306	122
714	307	122
715	307	122
716	307	121
717	308	121
718	308	120
719	308	120
720	309	119
721	309	119
722	309	118
723	310	118
724	310	117
725	310	117
726	311	116
727	311	116
728	311	115
729	311	115
730	312	114
731	312	114
732	312	113
733	313	113
734	313	112
735	313	112
736	314	112
737	314	111
738	314	111
739	314	110
740	315	110
741	315	109
742	315	109
743	316	108
744	316	108
745	316	107
746	316	107
747	317	106
748	317	106
749	317	105
750	318	105
751	318	104
752	318	104
753	318	104
754	319	103
755	319	103
756	319	102
757	320	102
758	320	101
759	320	101
760	320	100
761	321	100
762	321	99
763	321	99
764	322	99
765	322	98
766	322	98
767	323	97
768	323	97
769	323	96
770	324	96
771	324	95
772	324	95
773	324	94
774	325	94
775	325	93
776	325	93
777	326	93
778	326	92
779	326	92
780	327	91
781	327	91
782	327	90
783	327	90
784	328	89
785	328	89
786	328	89
787	329	88
788	329	88
789	329	87
790	330	87
791	330	86
792	331	86
793	331	86
794	332	85
795	332	85
796	332	84
797	333	84
798	333	83
799	333	83
800	333	82
801	334	82
802	334	82
803	334	81
804	335	81
805	335	80
806	336	80
807	336	79
808	336	79
809	336	79
810	337	78
811	337	78
812	338	77
813	338	77
814	339	76
815	339	76
816	339	76
817	340	75
818	340	75
819	341	74
820	341	74
821	341	73
822	341	73
823	342	73
824	342	72
825	342	72
826	343	71
827	343	71
828	343	70
829	344	70
830	344	70
831	344	69
832	345	69
833	345	68
834	345	68
835	346	67
836	346	67
837	346	67
838	347	66
839	347	66
840	347	65
841	347	65
842	348	64
843	348	64
844	348	64
845	349	63
846	349	63
847	349	62
848	350	62
849	350	61
850	350	61
851	351	61
852	351	60
853	351	60
854	352	59
855	352	59
856	352	58
857	353	58
858	353	58
859	353	57
860	354	57
861	354	56
862	354	56
863	354	55
864	355	55
865	355	55
866	355	54
867	356	54
868	356	53
869	356	53
870	357	52
871	357	52
872	357	52
873	358	51
874	358	51
875	358	50
876	359	50
877	359	49
878	359	49
879	360	49
880	360	48
881	361	48
882	361	47
883	361	47
884	362	47
885	362	46
886	362	46
887	363	45
888	363	45
889	363	44
890	364	44
891	364	44
892	364	43
893	365	43
894	365	42
895	365	42
896	365	42
897	366	41
898	366	41
899	366	40
900	367	40
901	367	39
902	367	39
903	368	39
904	368	38
905	368	38
906	369	37
907	369	37
908	369	37
909	370	36
910	370	36
911	370	35
912	371	35
913	371	34
914	371	34
915	372	34
916	372	33
917	372	33
918	373	32
919	373	32
920	374	32
921	374	31
922	374	31
923	375	30
924	375	30
925	375	30
926	376	29
927	376	29
928	376	28
929	377	28
930	377	27
931	377	27
932	377	27
933	378	26
934	378	26
935	379	25
936	379	25
937	379	25
938	379	24
939	380	24
940	380	23
941	380	23
942	381	23
943	381	22
944	381	22
945	381	21
946	382	21
947	382	20
948	382	20
949	383	20
950	383	19
951	383	19
952	384	18
953	384	18
954	384	18
955	385	17
956	385	17
957	386	16
958	386	16
959	386	16
960	386	15
961	387	15
962	387	14
963	387	14
964	388	14
965	388	13
966	388	13
967	389	12
968	389	12
969	389	12
970	390	11
971	390	11
972	390	10
973	391	10
974	391	10
975	391	9
976	392	9
977	392	8
978	392	8
979	392	8
980	393	7
981	393	7
982	393	6
983	394	6
984	394	6
985	394	5
986	395	5
987	396	4
988	396	4
989	396	4
990	397	3
991	397	3
992	397	2
993	398	2
994	398	2
995	398	1
996	399	1
997	399	0
998	399	0
999	400	0
